"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_lambda1"
2.69518367497099 -3.06783444515425 -1.28944930580421 -1.25438231059946
2.70080378489851 -3.06267076272242 -1.25946146314497 -1.62133223126383
2.68120760301571 -3.02429345561666 -1.27497581047209 -1.43241096731874
2.71770440578702 -3.10326921523119 -1.33500027081114 -1.2295429546202
2.70734008553623 -3.16428794486543 -1.3078532880386 -1.25800399382279
2.71322757718166 -3.11306099670582 -1.32085259841034 -1.70022897946424
2.69575368754075 -3.04037913455547 -1.33064929308226 -1.16244307184955
2.71176754274371 -3.15120985690504 -1.31265442256654 -1.27957723052082
2.71733712410214 -3.14691292406836 -1.31292870050875 -1.18092242649515
2.69799212343093 -3.11912791746901 -1.40262717022696 -1.02410894930608
2.70809482061477 -3.10862606333555 -1.31809541500756 -1.69299863916749
2.70052743461371 -3.07498038998348 -1.36140186989299 -1.22607661710118
2.67633781639048 -3.07497903706696 -1.26188657254341 -1.66485625411333
2.71644515659393 -3.12111414645725 -1.33251503990255 -1.49723829329503
2.6958580257041 -3.11745492191944 -1.30355469187363 -1.28826626115959
2.68506753344776 -3.06208794771725 -1.37848982894261 -1.17392695385078
2.692791971498 -3.06233243320511 -1.34089082426142 -1.3231961194678
2.66691842790603 -3.0572563432936 -1.27930089612822 -1.43143772771669
2.69083931463332 -3.06896784283735 -1.28169241586693 -1.44151003261716
2.70123463536047 -3.09044627762258 -1.28851432990882 -1.4680235749053
2.71524650847473 -3.09169447665516 -1.28947980640409 -1.17497539240711
2.71774389365973 -3.1238100538735 -1.26978080713027 -1.64307070820244
2.68646443901002 -3.04957007591461 -1.28500044942828 -1.72078622203069
2.68933593404788 -3.08198925482103 -1.31125475828143 -1.25726935532742
2.71184733798431 -3.13878314372972 -1.34905150189749 -1.13551736961604
2.71363903999759 -3.15323352834497 -1.31575949234624 -0.970639258805111
2.68265239223174 -3.05150751667624 -1.33242682840038 -1.27531663128639
2.70026507091541 -3.06405146029214 -1.26065691653589 -1.53542218110957
2.68480297887398 -3.04397619356167 -1.2531518764613 -1.73754215738433
2.69303016783393 -3.13736066310153 -1.40103582929668 -0.97057098378748
2.69268223005377 -3.09779868175612 -1.36138219783785 -1.01251284059517
2.73003155980248 -3.12755649864677 -1.24142889441647 -1.6541548688895
2.67222821312993 -3.040196314678 -1.30438103883846 -1.57224177754926
2.68722083686843 -3.04952762308892 -1.37180414562319 -1.20664877557284
2.68488952167889 -3.09478646081065 -1.30456598435121 -1.35891188637301
2.7239974550934 -3.14983172867846 -1.26495430897039 -1.48538560045112
2.68060810558322 -3.04157292683169 -1.23433596284064 -1.44333673093398
2.69487106423485 -3.09680280866158 -1.1888432259265 -1.91042127919554
2.71186872812302 -3.11047054253548 -1.23231912922435 -1.65369667923752
2.66108835792764 -3.03393810210604 -1.34921155383071 -1.06938862508158
2.6898871683756 -3.06675254393117 -1.26399178398274 -1.43705245200801
2.71206844398215 -3.16668032738606 -1.32607180562195 -1.49920069956008
2.71430963847433 -3.1261914488445 -1.3485921395151 -1.22903228830815
2.70766209249332 -3.12899859524414 -1.2364212910511 -1.66970350046203
2.69063041813156 -3.10013856537527 -1.38178670558828 -1.31599775985507
2.69834121521232 -3.05835589607109 -1.36033525118522 -1.13719077028966
2.69969134525123 -3.08155347155854 -1.30352886766253 -1.56512464602101
2.70934274813069 -3.07715043403186 -1.26269963500823 -1.55353619945918
2.7006133773651 -3.07576085470976 -1.2955275767334 -1.75839672843586
2.70769106590435 -3.13522584468837 -1.37956128772276 -1.22015367436011
2.7033325641533 -3.1011352507375 -1.23446513288047 -1.80653520373399
2.73088541733987 -3.1257694594352 -1.2948590981891 -2.00293244650624
2.69852864346127 -3.15401102703992 -1.33133213112542 -1.46512789906396
2.7031768864898 -3.12725322241432 -1.37698126205524 -1.0982363538325
2.69688814601876 -3.06980106702419 -1.30028361712985 -1.43970998310375
2.69714566763604 -3.09641535379212 -1.35293067048635 -1.12682423844229
2.69268454371259 -3.08843381245253 -1.23437817455202 -1.83570755676797
2.71128086114416 -3.11587591570837 -1.2829628004721 -1.57661970921162
2.72789684140422 -3.13496107910691 -1.33420763237348 -1.33055806063838
2.69746482464577 -3.10527670337052 -1.27379619240552 -1.41254162263304
2.69681070076697 -3.11067024997762 -1.27013771986081 -1.54604853276339
