"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_gama2" "se_MLE_lambda1"
0.18731019535341 0.400554672158249 0.189237552610001 0.343614117440772 0.4642289563548
0.167163717637165 0.496662848513239 0.245271324497799 0.454792764695808 0.417226528158834
0.147486665025365 0.434021891338239 0.230256068072185 0.44431011086939 0.455252280747496
0.183619874699785 0.380467817530315 0.238388313828108 0.443232501102863 0.599234794499715
0.141289448207311 0.403921012410325 0.227918924658416 0.407024271091546 0.486595266623445
0.143673093110373 0.371591609447633 0.188514682762907 0.324807475189375 0.424078323306384
0.186857245366979 0.37884192161786 0.225644058615206 0.423911779938796 0.431770860810772
0.175869137632922 0.426030251200199 0.194045612683444 0.343121158428255 0.46425266824273
0.137144521203608 0.410211196044552 0.213696447654298 0.406578533874972 0.440740548538633
0.176719542633186 0.31612739285666 0.228942302587848 0.42444652878948 0.574312702587165
0.136821812428247 0.409674329155333 0.219743399054585 0.39925491698637 0.449851280552088
0.136042321422466 0.376477379239412 0.187227448757353 0.338803522928294 0.412102749330343
0.131587803288096 0.330990628131213 0.261668837227183 0.469412551173459 0.578258535632837
0.184792678908599 0.435679087522795 0.251279458509881 0.469619215451509 0.461602295467418
0.156066127238522 0.352501990979707 0.250913879162476 0.452524763657548 0.451322825091076
0.13986189548124 0.418211703282046 0.205147892275805 0.359089182976262 0.50447791600015
0.184571456010089 0.429994387047275 0.236525880964034 0.430577438762998 0.400715504647929
0.142556167340568 0.44547706659269 0.201475944014047 0.349727692611687 0.422409251252933
0.118129236405991 0.376412863456363 0.211820364997152 0.36734900032239 0.449675558834324
0.151485099806783 0.496956516530394 0.266152678788623 0.533392666507663 0.469168631153545
0.159257338983268 0.407603054598417 0.211909314743205 0.377055026777435 0.462110355774913
0.133179355859937 0.365646625745413 0.200455000759039 0.338545013138183 0.442507336968886
0.130098319331153 0.32644993958382 0.206806447555065 0.336428404344899 0.500402635941829
0.140835151450439 0.405648974450274 0.229481318862891 0.442312687975677 0.466839597273385
0.14889540613395 0.367555357495552 0.217027045148845 0.389241588958489 0.509341714736934
0.19341420274923 0.409791106220378 0.221579856645396 0.398112181938034 0.415232188887295
0.168809643542796 0.372061568997948 0.200749319082363 0.337154083088361 0.437447292785101
0.163259165716163 0.387141456304931 0.221730353001748 0.400714876644675 0.427583278921426
0.133188211125445 0.381240150821701 0.228786250873595 0.413078334248399 0.52808935363162
0.129964229398978 0.373624796565761 0.198952370037042 0.370838236012084 0.523398191618505
0.134716189113368 0.384660698611698 0.207244430039225 0.345117538499984 0.450860264911921
0.169992939361023 0.498520810612935 0.234718116117429 0.426805245764768 0.368258308792983
0.116430494225405 0.492132468290345 0.218996603869251 0.393733560272749 0.448524027234582
0.165307025831357 0.464707682706307 0.234646171503601 0.45081425088308 0.427854534634916
0.115226652710015 0.360618669418518 0.235518321199157 0.431002530788297 0.542405100595898
0.194534413624331 0.462474565374625 0.259851953482343 0.483451461199041 0.398988677268007
0.124828929296782 0.449525070586799 0.202888470448239 0.360180120950697 0.431165658074521
0.172358610610141 0.40904564662999 0.204603575684757 0.351773795009963 0.447156104506462
0.132290934663625 0.388060366950843 0.21170112042816 0.403915784287123 0.46190348656514
0.143644467450207 0.310993399622104 0.20491414562434 0.356569818308607 0.453899199878977
0.135029263807121 0.410853446631229 0.212312384284683 0.386831110423448 0.469387860176284
0.133477859186712 0.408970873293344 0.215497850677819 0.395223208137539 0.490841089274856
0.172985252816173 0.420599961514868 0.216283152142012 0.36346803990051 0.424853034388156
0.160474852138277 0.397404082617444 0.196930825305439 0.333879351156586 0.398483859173924
0.105934187051042 0.397309848180947 0.223336401489709 0.414696507477887 0.410814536174415
0.125969351555242 0.415552828901335 0.22654392468673 0.415426651372035 0.463809339577348
0.202120034718205 0.470706436883759 0.210347487314423 0.372841938275153 0.410091228696653
0.168902059481144 0.321531721328727 0.21150698018565 0.391725258620822 0.566289271225736
0.171349468256766 0.355448826664848 0.208146414262441 0.368088371667237 0.509778906464027
0.118399982405195 0.408046046390872 0.253605094363025 0.494517653008397 0.56956233098789
0.0965690079554568 0.29928071207877 0.218250689738458 0.354805304829601 0.589732941218751
0.184461596329663 0.317948939337172 0.227457802364893 0.402427390468543 0.583760111101972
0.146064635421003 0.379115837682867 0.236929171007376 0.402694750395857 0.568183109780334
0.140308240594689 0.401430382023955 0.258233261579255 0.517852306489744 0.535032025997129
0.143068155072296 0.366364061924868 0.205550898883669 0.374411814530105 0.505615363776937
0.107791858365801 0.329413852029588 0.240244665148901 0.454936298109694 0.607381822826366
0.179693384328163 0.463857999860077 0.200618736439824 0.354755792593076 0.393819587538536
0.19294132616469 0.516733509534706 0.228996575592954 0.429488829910526 0.421948807906421
0.163573482472839 0.49866625622654 0.213810302808856 0.391854797129939 0.442386339043819
0.136417653015894 0.426285845800318 0.228582596313107 0.422236334632859 0.500308193284109
0.135739151388802 0.412705877555309 0.219796651356583 0.439095095745846 0.465744308390032
0.13709996845261 0.370704022458558 0.207735638844337 0.379273965880663 0.486929334360863
0.132341785188419 0.352125552947027 0.209215529196237 0.356230359072545 0.475878583083067
0.123676379392025 0.397256065079437 0.214532791620816 0.381445611831991 0.416127282082322
0.157856709493772 0.408513527712046 0.220910284595029 0.390467042652389 0.469025379089244
0.146966820475496 0.378091617464696 0.229850123885252 0.40999532670782 0.432448806101669
0.156283549016994 0.464472832683207 0.243877493971037 0.456376523947443 0.428185462203023
0.119368482708526 0.382357877214985 0.22427536824735 0.414173232423973 0.409845057985026
0.141267330008105 0.285307055995098 0.235751938218541 0.439920939902389 0.570466326426689
0.13650570562521 0.366970402628748 0.206497005386432 0.361066807168842 0.49530028403173
0.14434824128021 0.376483497515009 0.202307470293477 0.3604568282297 0.44466082807595
0.118359096846135 0.473113134223839 0.233198170853885 0.432018193889548 0.400273890318653
0.151011872263143 0.4754849141988 0.255667892397827 0.475427280884359 0.405949830889636
0.0908503751442197 0.361225644555321 0.218767390184479 0.406907446405696 0.474675764498244
0.150005472263287 0.39228866885162 0.247709441138481 0.403635434011401 0.46529546790541
0.140079369092499 0.382538235980403 0.211137529100207 0.392414696283726 0.450245240142317
0.145395485533832 0.402758870042337 0.267247167189002 0.493186351765553 0.494826158685673
0.154725592880308 0.429875381799927 0.207797947867075 0.354122888054517 0.391733718735108
0.161942471609276 0.433588191155176 0.272195540351581 0.495878263236331 0.467466265255508
